"Source Text","Translated Text"
"Source Text","Translated Text"
"to your browser","به مرورگر شما"
"!=","!="
"\""""Company History\","\""""تاریخچه شرکت\"
"\""""Parent\"""" signifies the parent table in which this row must be added","\""""Parent\"""" نشان دهنده جدول والد است که این ردیف باید در آن اضافه شود"
"\""""Team Members\"""" or \""""Management\","\""""اعضای تیم\"""" یا \""""مدیریت\"
"\""""amended_from\"""" field must be present to do an amendment.","فیلد \""""amended_from\"""" باید برای اصلاح وجود داشته باشد."
"\""""{0}\"""" is not a valid Google Sheets URL","\""""{0}\"""" یک URL معتبر Google Sheets نیست"
"#{0}","#{0}"
"${values.doctype_name} has been added to queue for optimization","${values.doctype_name} برای بهینه‌سازی به صف اضافه شده است"
"&copy; Frappe Technologies Pvt. Ltd. and contributors","&copy; Frappe فن آوری Pvt. Ltd و مشارکت کنندگان"
"&lt;head&gt; HTML","&lt;head&gt; HTML"
"'In Global Search' is not allowed for field {0} of type {1}","در جستجوی سراسری برای فیلد {0} از نوع {1} مجاز نیست"
"'In Global Search' not allowed for type {0} in row {1}","در جستجوی سراسری برای نوع {0} در ردیف {1} مجاز نیست"
"'In List View' is not allowed for field {0} of type {1}","در نمای فهرست برای فیلد {0} از نوع {1} مجاز نیست"
"'In List View' not allowed for type {0} in row {1}","در نمای فهرست برای نوع {0} در ردیف {1} مجاز نیست"
"'Recipients' not specified","دریافت کنندگان مشخص نشده است"
"'{0}' is not a valid URL","{0} یک URL معتبر نیست"
"'{0}' not allowed for type {1} in row {2}","{0} برای نوع {1} در ردیف {2} مجاز نیست"
"(Mandatory)","(اجباری)"
"** Failed: {0} to {1}: {2}","** ناموفق: {0} به {1}: {2}"
"+ Add / Remove Fields","+ افزودن / حذف فیلدها"
"0 - Draft; 1 - Submitted; 2 - Cancelled","0 - پیش‌نویس؛ 1 - ارسال شده 2 - لغو شد"
"0 is highest","0 بالاترین است"
"1 = True & 0 = False","1 = درست و 0 = نادرست"
"1 Currency = [?] Fraction\n","1 واحد پول = [؟] کسر\n"
"1 Day","1 روز"
"1 Google Calendar Event synced.","1 رویداد تقویم Google همگام‌سازی شد."
"1 Report","1 گزارش"
"1 comment","1 نظر"
"1 day ago","1 روز پیش"
"1 hour","1 ساعت"
"1 hour ago","1 ساعت پیش"
"1 minute ago","1 دقیقه پیش"
"1 month ago","1 ماه پیش"
